Entry	Entry name
Q8BHN1	TXLNG_MOUSE
Q00899	TYY1_MOUSE
P26369	U2AF2_MOUSE
Q8CFI2	UB2R1_MOUSE
Q02053	UBA1_MOUSE
Q8C878	UBA3_MOUSE
Q8C7R4	UBA6_MOUSE
P63072	UBD_MOUSE
P61087	UBE2K_MOUSE
Q6ZPJ3	UBE2O_MOUSE
Q8VDW4	UBE2W_MOUSE
Q9ES00	UBE4B_MOUSE
P25976	UBF1_MOUSE
P70452	STX4_MOUSE
P35761	TTK_MOUSE
Q8CHB8	TTLL5_MOUSE
F6SEU4	SYGP1_MOUSE
P07147	TYRP1_MOUSE
Q6ZWQ0	SYNE2_MOUSE
Q8CHC4	SYNJ1_MOUSE
O88935	SYN1_MOUSE
Q91YE8	SYNP2_MOUSE
Q62277	SYPH_MOUSE
Q7M764	U17PE_MOUSE
Q8BGJ9	U2AF4_MOUSE
Q8CGB3	UACA_MOUSE
Q62302	TX261_MOUSE
Q7TN22	TXD16_MOUSE
Q9CQM5	TXD17_MOUSE
Q6PAM1	TXLNA_MOUSE
Q8BUH1	TXN4B_MOUSE
Q6P902	TXND2_MOUSE
Q91W90	TXND5_MOUSE
Q8CDN6	TXNL1_MOUSE
Q8BWB1	SYP2L_MOUSE
Q8CFI5	SYPM_MOUSE
Q8BSA9	TYW3_MOUSE
Q8BYR1	TYW4_MOUSE
A2RSX7	TYW5_MOUSE
Q3TTC2	TYY2_MOUSE
Q8BML9	SYQ_MOUSE
Q9D883	U2AF1_MOUSE
Q62377	U2AFM_MOUSE
Q6ZWY6	U2D2B_MOUSE
A0PJN4	U2QL1_MOUSE
Q3TW96	UAP1L_MOUSE
Q91YN5	UAP1_MOUSE
P61080	UB2D1_MOUSE
P62838	UB2D2_MOUSE
Q91W82	UB2E2_MOUSE
Q9CY34	UB2FA_MOUSE
Q3UWQ3	UB2FB_MOUSE
P62254	UB2G1_MOUSE
P60605	UB2G2_MOUSE
Q6P073	UB2J2_MOUSE
Q8K2Z8	UB2Q2_MOUSE
Q9D2M8	UB2V2_MOUSE
P31254	UBA1Y_MOUSE
Q8VE47	UBA5_MOUSE
Q8VDI7	UBAC1_MOUSE
Q8R1K1	UBAC2_MOUSE
Q8BH48	UBAP1_MOUSE
P61082	UBC12_MOUSE
P26638	SYSC_MOUSE
Q9JJL8	SYSM_MOUSE
P62257	UBE2H_MOUSE
Q921J4	UBE2S_MOUSE
Q9ES34	UBE3B_MOUSE
Q80U95	UBE3C_MOUSE
Q8BX13	UBE3D_MOUSE
E9Q735	UBE4A_MOUSE
Q78JW9	UBFD1_MOUSE
Q3USZ2	UBFL1_MOUSE
Q9DC60	UBIA1_MOUSE
Q9WUM5	SUCA_MOUSE
Q9Z2I8	SUCB2_MOUSE
Q62187	TTF1_MOUSE
Q5NC05	TTF2_MOUSE
A4Q9F4	TTL11_MOUSE
A4Q9F6	TTL13_MOUSE
A4Q9E4	TTLL2_MOUSE
Q80UG8	TTLL4_MOUSE
A4Q9E8	TTLL6_MOUSE
A4Q9F1	TTLL8_MOUSE
A2APC3	TTLL9_MOUSE
Q9D3D0	TTPAL_MOUSE
P01734	TVB1_MOUSE
P01736	TVB3_MOUSE
P06320	TVB7_MOUSE
Q8JZP2	SYN3_MOUSE
Q5G5D5	SYNA_MOUSE
Q8BP47	SYNC_MOUSE
Q8BGV0	SYNM_MOUSE
Q5SV85	SYNRG_MOUSE
O09117	SYPL1_MOUSE
O89104	SYPL2_MOUSE
Q8BJM7	TYW1_MOUSE
Q8BG71	TYW2_MOUSE
Q8C4B4	U119B_MOUSE
G5E8I7	U17LC_MOUSE
Q61068	U17PA_MOUSE
Q9D384	U1SBP_MOUSE
Q91WM3	U3IP2_MOUSE
O08810	U5S1_MOUSE
P61079	UB2D3_MOUSE
P52482	UB2E1_MOUSE
Q9JJZ4	UB2J1_MOUSE
Q9CPW5	SSRB_MOUSE
O35400	ST2B1_MOUSE
Q8BG48	ST17B_MOUSE
P63046	ST4A1_MOUSE
Q6P3A1	STMD1_MOUSE
P0CC03	ST6B1_MOUSE
Q8K4P7	ST7L_MOUSE
Q61056	TRPC1_MOUSE
Q8BZ60	STON2_MOUSE
B2RQL2	STOX1_MOUSE
O70166	STMN3_MOUSE
P63042	STMN4_MOUSE
O35526	STX1A_MOUSE
Q6J9G1	STYK1_MOUSE
Q64324	STXB2_MOUSE
Q8C341	SUCO_MOUSE
Q8CFG0	SULF2_MOUSE
Q9Z172	SUMO3_MOUSE
Q5SS91	SUN3_MOUSE
Q8R0F3	SUMF1_MOUSE
Q8BPG6	SUMF2_MOUSE
Q8BIP0	SYDM_MOUSE
Q922B2	SYDC_MOUSE
Q61037	TSC2_MOUSE
J3S6Y1	TSEAR_MOUSE
O08859	TSG6_MOUSE
P12656	TSHB_MOUSE
Q8CBR6	TSK_MOUSE
Q9JIE6	TSLP_MOUSE
Q8VCF5	TSN10_MOUSE
Q8BKT6	TSN12_MOUSE
Q9JHH2	TSN32_MOUSE
Q9QY33	TSN3_MOUSE
Q9DCK3	TSN4_MOUSE
P62080	TSN5_MOUSE
O70401	TSN6_MOUSE
Q8R3G9	TSN8_MOUSE
Q9WUA2	SYFB_MOUSE
Q8BLH5	TSP50_MOUSE
P13438	TSP_MOUSE
Q5SWD9	TSR1_MOUSE
Q8C8T8	TSR2_MOUSE
Q5HZH2	TSR3_MOUSE
Q9JHE7	TSSC4_MOUSE
Q61241	TSSK1_MOUSE
Q9D411	TSSK4_MOUSE
Q925K9	TSSK6_MOUSE
P70675	TSX_MOUSE
Q8VD63	TSYL4_MOUSE
Q69ZB3	TSYL5_MOUSE
Q8C0S4	TT21A_MOUSE
A6H6E9	TT23L_MOUSE
Q8BYY4	TT39B_MOUSE
Q8VE09	TT39C_MOUSE
Q8CC21	TTC19_MOUSE
Q8BYG0	TTC24_MOUSE
Q8CD92	TTC27_MOUSE
Q9D6K7	TTC33_MOUSE
Q8C0Q3	TTC34_MOUSE
A3KMP2	TTC38_MOUSE
O88196	TTC3_MOUSE
Q91V83	TTI1_MOUSE
A4Q9E5	TTLL3_MOUSE
Q8BWP5	TTPA_MOUSE
P22893	TTP_MOUSE
Q61035	SYHC_MOUSE
Q9D3A9	TTYH1_MOUSE
Q6P5F7	TTYH3_MOUSE
P13675	SSTY1_MOUSE
Q8K2X3	STN1_MOUSE
Q9CZV5	ST65G_MOUSE
Q99JB2	STML2_MOUSE
Q6PE84	STML3_MOUSE
Q9QWG7	ST1B1_MOUSE
Q499E5	STOX2_MOUSE
Q8R1Q0	STX19_MOUSE
Q9Z2I9	SUCB1_MOUSE
Q9JKK1	STX6_MOUSE
P21845	TRYB2_MOUSE
Q9QUL7	TRYG1_MOUSE
Q61187	TS101_MOUSE
Q99PG6	TS1R1_MOUSE
Q925D8	TS1R3_MOUSE
Q9DA44	TSACC_MOUSE
Q9D198	SYF2_MOUSE
Q8C0C7	SYFA_MOUSE
Q8CA03	TSCOT_MOUSE
Q6NY15	TSG10_MOUSE
Q9DA17	TSG13_MOUSE
Q9JJL0	TSGA8_MOUSE
Q5DTH5	TSH1_MOUSE
Q9D7W4	TSN17_MOUSE
Q80WR1	TSN18_MOUSE
Q99J59	TSN1_MOUSE
Q8BJU2	TSN9_MOUSE
Q62348	TSN_MOUSE
P35441	TSP1_MOUSE
Q05895	TSP3_MOUSE
Q9Z1T2	TSP4_MOUSE
Q9CRZ8	TSPO2_MOUSE
P50637	TSPO_MOUSE
Q9D0B5	TSTD3_MOUSE
Q7TQI8	TSYL2_MOUSE
Q0HA38	TT21B_MOUSE
Q6PCN3	TTBK1_MOUSE
Q99M01	SYFM_MOUSE
Q80XJ3	TTC28_MOUSE
Q80VM3	TTC29_MOUSE
Q8VBW8	TTC36_MOUSE
Q810A3	TTC9C_MOUSE
P07309	TTHY_MOUSE
P04213	TVB5_MOUSE
P49660	SSR4_MOUSE
Q60969	STYX_MOUSE
Q60770	STXB3_MOUSE
Q8K1E0	STX5_MOUSE
P04212	TVB4_MOUSE
P06325	TVC4_MOUSE
Q9DBG9	TX1B3_MOUSE
Q6P6J9	TXD15_MOUSE
Q99P25	TXIP1_MOUSE
Q9CQ79	TXND9_MOUSE
Q8JZU2	TXTP_MOUSE
P24529	TY3H_MOUSE
Q6ZWY8	TYB10_MOUSE
Q499X9	SYMM_MOUSE
O54885	TYOBP_MOUSE
P29812	TYRP2_MOUSE
Q8BI41	SYNB_MOUSE
Q6ZWR6	SYNE1_MOUSE
Q4FZC9	SYNE3_MOUSE
Q8CII8	SYNE4_MOUSE
Q70IV5	SYNEM_MOUSE
A2ANU3	SYNG1_MOUSE
Q3USQ7	SYN1L_MOUSE
Q64332	SYN2_MOUSE
P07607	TYSY_MOUSE
Q62186	SSRD_MOUSE
Q9CY97	SSU72_MOUSE
P50236	ST2A2_MOUSE
Q8BGW6	ST32A_MOUSE
Q9JJX8	ST32B_MOUSE
P56677	ST14_MOUSE
O35403	ST3A1_MOUSE
Q924W7	ST5_MOUSE
Q8CI66	STML1_MOUSE
Q00262	STX2_MOUSE
Q9ER00	STX12_MOUSE
Q64704	STX3_MOUSE
Q9WV89	STXB4_MOUSE
Q99MT6	SUCR1_MOUSE
P31266	SUH_MOUSE
P06324	TVC3_MOUSE
Q8BIJ6	SYIM_MOUSE
Q1H9T6	TZAP_MOUSE
Q9Z2R6	U119A_MOUSE
E9Q9U0	U17PB_MOUSE
G5E8G2	U17PD_MOUSE
Q9D0I9	SYRC_MOUSE
Q64707	U2AFL_MOUSE
Q3U186	SYRM_MOUSE
Q6P4T2	U520_MOUSE
P0C1Z5	U730_MOUSE
P52483	UB2E3_MOUSE
P68037	UB2L3_MOUSE
Q9QZU9	UB2L6_MOUSE
Q7TSS2	UB2Q1_MOUSE
Q6ZWZ2	UB2R2_MOUSE
Q9CZY3	UB2V1_MOUSE
Q6P3B2	UBAD1_MOUSE
Q8BQH4	UBAD2_MOUSE
Q8BGR9	UBCP1_MOUSE
P0CG50	UBC_MOUSE
Q9Z255	UBE2A_MOUSE
Q9CQ37	UBE2T_MOUSE
Q3UE37	UBE2Z_MOUSE
O08759	UBE3A_MOUSE
Q9R0Q1	SYTL4_MOUSE
Q80T23	SYTL5_MOUSE
Q9R0N5	SYT5_MOUSE
Q9EQT6	SYT13_MOUSE
Q7TN84	SYT14_MOUSE
Q8K007	SULF1_MOUSE
Q9D666	SUN1_MOUSE
Q9Z0P7	SUFU_MOUSE
Q8CH09	SUGP2_MOUSE
Q91YD4	TRPM2_MOUSE
Q923J1	TRPM7_MOUSE
Q925H1	TRPS1_MOUSE
Q8K3A2	TRPT1_MOUSE
Q9WTR1	TRPV2_MOUSE
Q9EPK8	TRPV4_MOUSE
Q91WD2	TRPV6_MOUSE
Q8BHS8	SYBU_MOUSE
Q9ER72	SYCC_MOUSE
Q9D495	SYCE1_MOUSE
Q505B8	SYCE2_MOUSE
Q9DBZ9	SYDE1_MOUSE
Q99MD6	TRXR3_MOUSE
P06323	TVA3_MOUSE
Q9EP52	TWSG1_MOUSE
Q9D5S1	TX19B_MOUSE
Q8VDC0	SYLM_MOUSE
P42682	TXK_MOUSE
P83877	TXN4A_MOUSE
Q8BJ37	TYDP1_MOUSE
